date,title,description,url,publisher
2023-10-12,NOG Schedules Third Quarter 2023 Earnings Release and Conference Call - Business Wire,NOG Schedules Third Quarter 2023 Earnings Release and Conference Call  Business Wire,https://news.google.com/rss/articles/CBMixAFBVV95cUxPSGRvdEdnVlR2Q1lJTEFEX24yWUxtWFctWWpBODN5QWhhbUhjVm1CWWMwUVdfb2wxRWxMU0NERUV1dnRQcUhqQ1M5UlRyZzR4MTFWNGNFTmpmcGhIYVp4NkliNGNxUGN6d2RuQkRCNUxVWnVpcVpYLXh3Z3JINWF5ZlpULTJ6QVlic0hNS0dQVkh0cHptVl93THl1UlVac0dWbWlfV2E2eXhUcC1jZlNidlMwN0FqWXoxYzRUcUVvNzVHZ3lP?oc=5&hl=en-US&gl=US&ceid=US:en,Business Wire
2023-11-10,"Exclusive: NOG's Permian, Partnership Evolution [WATCH] - Hart Energy","Exclusive: NOG's Permian, Partnership Evolution [WATCH]  Hart Energy",https://news.google.com/rss/articles/CBMimwFBVV95cUxPN1dGMWszZjZlMDVlaldRVHdCcllGR3F2S2N5OU1mX29PT0JrTHpaWG53WjAtTVQ4Vlp0MHdZVmxIaVlCTk5ab252eUgtMW9BaTEzaldrZUJqcE1zUEFCNlloV2NudEVsakdrai1TeURyeWJ1aFVOZkpHWUlIMkZCclJObGFVZ0tILWoxUjhERGZXZUlaSk5IMUl3VQ?oc=5&hl=en-US&gl=US&ceid=US:en,Hart Energy
2023-11-21,NOG Announces Bolt-on Acquisitions; Expands Northern Delaware Position and Enters Ohio Utica Shale in Appalachia - Business Wire,NOG Announces Bolt-on Acquisitions; Expands Northern Delaware Position and Enters Ohio Utica Shale in Appalachia  Business Wire,https://news.google.com/rss/articles/CBMi_AFBVV95cUxPbGZIZ29qZGZndFh5RkhGLXVnSnlfNDUyaDBrenczM2o2MFFlaEpBWVNULXZZQ0MyNzFMS04tNVN2Y2FUUzlFWGJqNnFxbnl5eTZzT1g2bjdyQ0VCUnlEcXRESWJvZ0p3WDNEdzlvSUxIWDU0RTdTeEhvOUlDV0E4eTRoNVcwdlpWODlXN3Azd21LSkRrU3EzUnJXc01OaEtXbTU4bWFWQi1lQ3N6VkpDVzJ4UlRlcEc3aDRabUVnZzRQbk5RM1I0Y2o0cTYyV01KOFVnZXNialdBdk1ETWd4a01uQ1EzelUxc1hPUkliUWRxaHl0cEI2b3R3bDQ?oc=5&hl=en-US&gl=US&ceid=US:en,Business Wire
2023-11-21,"NOG Enters Ohio Utica Shale, Adds Permian with $174MM in M&A - Hart Energy","NOG Enters Ohio Utica Shale, Adds Permian with $174MM in M&A  Hart Energy",https://news.google.com/rss/articles/CBMimgFBVV95cUxQd045ZnBQMDZUMDdJRF9XOExUaUJEd0RWWG5sczZWRHM3ZDZhcVVLeVkxQkVQbVlYazZfOGpqMGdsSWdnQnRtSEN3bDJkRF9yZUk0Njhhc0YxOTZHdlEwN0N4WFJfRzZXeXlITVhIRHNFVW44Y3MtOGh2cDBYbkN4V01LS0s2VFQ3QllDandqNWIxVXZ4TElXVkN3?oc=5&hl=en-US&gl=US&ceid=US:en,Hart Energy
2024-02-01,Record 2023 results strengthen the foundation for continuous growth - Ferrari,Record 2023 results strengthen the foundation for continuous growth  Ferrari,https://news.google.com/rss/articles/CBMiogFBVV95cUxNS2Rsa0Y2ODVlVE5hSTM4RVZGcnpqa3RtbXc2VDJGYzFJOFAwekdnUkRxRVl0Y25qSmRGYlFsaVBnd2VCek9CV0d2ZG5VeE9waFpRT29NNUd5VV9DRnByTXNFNzhvVFNPdnJ2azdXdGE4cktaUExiQ3hqVXFNcUVXVjlNU2owZjVXUFZhdEhjSldLTThQREItRzRaMzRPTmdWNUHSAa4BQVVfeXFMTWU5YjZvdnRJM3BKUTdacU13MVdEdWQ1MW9GV0pYZ1lCd21kUXBodlZESW5VNGpSVTJuT0Q1VjRHSzFnSEVaMno3cEY3RzNaV21kNjhjUkwyZ2ktWGw0TFZ4UExZT1RqYno5bFhkWlpLbVgzM2xkOHFDdWJiRDZZSm0yU1FJU1k1QzBGUTZKVnVuY1UxV1oxYm9XWUFSb1FORGp1ZmR0VEpoNHRMRE53?oc=5&hl=en-US&gl=US&ceid=US:en,Ferrari
2024-03-05,Former oil executive Michael Reger accuses Dorsey & Whitney of legal malpractice - Star Tribune,Former oil executive Michael Reger accuses Dorsey & Whitney of legal malpractice  Star Tribune,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOaWMySk1BODJVTUxVSGU0dHhWUGlZdTlnY0RyZW5ROXhUaWJqSHQ5ZU5maGtDdkNxX0daT2todzQwdlJUUFcyN2prRDBxN0piMGMyVnd4MkRBYl9UZk4xaWFteWpJZTR6VHJ0S2pCUUdDNDRPNEhwLXVXZTh4dTd1NHZwZTJrRDVPM1QxbTN4c2RQR3JyMWh1Ny04VXNPeGNOLTczdHlqZEgxZE1TWERFTGEyOUVZZUZESUdRaVpreTd2dEU?oc=5&hl=en-US&gl=US&ceid=US:en,Star Tribune
2024-04-23,Novo Oil & Gas II Receives Equity Capital Commitment from EnCap Investments - Business Wire,Novo Oil & Gas II Receives Equity Capital Commitment from EnCap Investments  Business Wire,https://news.google.com/rss/articles/CBMiygFBVV95cUxPcVBZY1RBR0FqOTVsM1E4ZGVkcjVTUHIxbDItMUJKNlpHOUVXSG9YNmV4MS1RVWJ2QzQyREpXZVIxNUZ0YS1lRDQ3ZTE2MExBV2ZoSV9PeUhSSHExd1Ntdzh2QzBVS0ZLWU5BTXpyTnB0UmtJSU5CS1N3QS1EV0lxOWc1dUt4TDFQZVFxZEhkeWZWRnI4cUd3UmZpRHNCeENnaDRPY2ZEMTIwM05LdlVGcGdiZFVUd0FfbFc0NDd6UzNCSnNzd3ZWQWp3?oc=5&hl=en-US&gl=US&ceid=US:en,Business Wire
2024-06-27,"SM Energy, Northern Oil and Gas partner in $2.6 billion XCL Resources shale acquisition in Utah - World Oil","SM Energy, Northern Oil and Gas partner in $2.6 billion XCL Resources shale acquisition in Utah  World Oil",https://news.google.com/rss/articles/CBMiygFBVV95cUxNOEItTXRsT1FqVjFmV3ZzSk85Y1B2ZTk1Q0gyc0d4RDJtV1h2dW9OMjItcHRtQWFJTFFSWmtwdmtPc25hTGhNSVdGa09DYmM1WnpWalpLVmpUQ3g0eWk1VWI5UW94eFJiYVNyM1V3OFgwNm5PanBVaHRyN0o0bkVIOHVCRmxwTkxZdDRYNk9EVWlweFJjZHpWNFI5Szg1eHhRZFFIa2ozRERHeDdEVDVyNmNXRjF0TzFzcXRtRWxyOUpFcm54MkprZmtn?oc=5&hl=en-US&gl=US&ceid=US:en,World Oil
2024-06-27,"SM ENERGY ANNOUNCES HIGHLY ACCRETIVE $2.0 BILLION UINTA BASIN ACQUISITION, 11% INCREASE TO FIXED DIVIDEND AND RELOADED $500 MILLION SHARE REPURCHASE PROGRAM - PR Newswire","SM ENERGY ANNOUNCES HIGHLY ACCRETIVE $2.0 BILLION UINTA BASIN ACQUISITION, 11% INCREASE TO FIXED DIVIDEND AND RELOADED $500 MILLION SHARE REPURCHASE PROGRAM  PR Newswire",https://news.google.com/rss/articles/CBMisgJBVV95cUxNdlZnRF9YNV91V1hzY2hnenc5LVo3S3VxcW1DdnFtZ3ZzdExYdkJCZ2s4WU5iWU9vZUJZbjdUQlR6NHFqcUhQREhMOWdXN0oxWFdtdUNhTEdLallHT0w3OVNLUVotWDFGN0V3eTQ0aFhVM08xc0ZOSlhtcnY2VmFBLWg3cUlKUGhPQmpuNzJ2Qm1QTjE5QmwybmhZSWFDQ3B1WTE1YnRJZGxfOE5sOXp0MlVSR2RVZFQyUHU0SXpkR2R5a1c1OVp6SHJkS0t2SlZ5MWhNbkVqejJRX3VkRllRV0pkOEd4YkFnLXVnc1FMakhaT2JzVVEwNDh0VDVYUW1wTWJ3bkV6S3JxSmdJXzd3LVBTcFBOMldBd1A0ZzhzaE1XLXBmZTJrQzV3SU1HLThVSGc?oc=5&hl=en-US&gl=US&ceid=US:en,PR Newswire
2024-06-27,SM Energy to Buy XCL Resources in $2.55B Entry into Uinta Basin - Hart Energy,SM Energy to Buy XCL Resources in $2.55B Entry into Uinta Basin  Hart Energy,https://news.google.com/rss/articles/CBMimwFBVV95cUxNVGtmS0hsckxyZVFBc2JFNWozTVpOMl9JUS0yend5OFREMHZBQVBQaWxnQ1hUM3JZLXA1bTRudkpyRTJXV2l4SDd5NXhLRE4tOW9iVmQ4X3lxdFlYZ1QxcGFiX2xJTWlza1AtLTBidnpaNXpqdzduRHd0Mll0cTR3VTdhZXFUVFpKdG9HS2ZKUkswak9JeURqUUZWNA?oc=5&hl=en-US&gl=US&ceid=US:en,Hart Energy
2024-06-27,XCL Resources Sells Uinta Basin Assets to SM Energy - Vinson & Elkins LLP,XCL Resources Sells Uinta Basin Assets to SM Energy  Vinson & Elkins LLP,https://news.google.com/rss/articles/CBMijAJBVV95cUxQT05tSGhfU1VWX1BtRHBJdHNGRTNyenh1cFRsZnZDd1cyb3NwYkVRQ1hnMHUtMjdmdF94VFVmY1BBVURsR3BLTXBUcG1uMXRIS0d1Umh6WXozWk51VTNadHBwRFAwMDkzVzdOVU54YWIwcnlBaE04RDQ3M1RyYV9KYXBLLWlfbWxtN25YOWxmX0xBRGVlNmxRMExBcG1YLTRCZ3lqTUJ3RkhlajFJa3BSWkVhbHJCcUxGLUdJdER0YWdvTHl5cjNxMDl5OXgxaUJxWmxWaE55dEdMeS15S0xkQjBKd3FMUmVvWlI5czNxM1hkRkM0YkJHSWo2X1dQcDFXX1ozZEdROFlmNE1B?oc=5&hl=en-US&gl=US&ceid=US:en,Vinson & Elkins LLP
2024-06-28,Denver oil company strikes $2 billion deal to expand in Utah - The Business Journals,Denver oil company strikes $2 billion deal to expand in Utah  The Business Journals,https://news.google.com/rss/articles/CBMingFBVV95cUxOaFdxSjZtSU1LeDlSUkc0dS00cy01bTc1aVZGMzNhTUo5U2N3Vjh6RFJYbmVCdElxODFKVWgzUmlxWWlWcW9tbGdWWjZ3ejI5TTViVTZxalNuaFdXUHM3c2U2OWxjenZzSUhTVEctMUZuRGVSejFLdkNzT1lKRDVFVUNHeWJCbFp0bDZCZnZwQkZFNmJPcFJDam44c05IZw?oc=5&hl=en-US&gl=US&ceid=US:en,The Business Journals
2024-06-28,SM Energy and NOG partner to acquire XCL's assets for $2.55bn - Offshore Technology,SM Energy and NOG partner to acquire XCL's assets for $2.55bn  Offshore Technology,https://news.google.com/rss/articles/CBMigwFBVV95cUxPNTR2cVBmVWdxSUV1akpkV0k4THI0aVJuRTh6cVV3cndTakV4XzFKMzh4dldKbGx1eGFTWGZZYTNlU29qbzNmYW43blppdWZOdmJmdDdXY1BaX3JWbjFVYUFHLTU1eEk1akRoMXFHNU51VmZsR09wQjd4YjZjRmVYM1ZmOA?oc=5&hl=en-US&gl=US&ceid=US:en,Offshore Technology
2024-07-01,"Vital Energy, Northern Oil and Gas partner to buy Point Energy assets for $1.1B - Daily Energy Insider","Vital Energy, Northern Oil and Gas partner to buy Point Energy assets for $1.1B  Daily Energy Insider",https://news.google.com/rss/articles/CBMivAFBVV95cUxPbE13bFl4QXo3R2hPZ2ZmRDl2U296T2lCZVpDYUxJbTVfVUVsSWRhMUV1eUpSeGpsRnBfdWRhMFpRaENzVXhWYjNJSEtza3F4YnhlLTJwaTU3UFdlTmt2QVQ5cmZSczduTUlBZUVOZjBxUTNENUN0SjRMWHBlVTVJRE16aDFITTl0bXN5azE2aERHV0xwbXFYblhfclBPUXkwSUk4cThna0ZIU2R4cW1hRUlQX2V6U2IxVEhwcg?oc=5&hl=en-US&gl=US&ceid=US:en,Daily Energy Insider
2024-07-28,"Vital Energy, Northern to Buy Delaware E&P Point Energy for $1.1B - Hart Energy","Vital Energy, Northern to Buy Delaware E&P Point Energy for $1.1B  Hart Energy",https://news.google.com/rss/articles/CBMioAFBVV95cUxQTnNOS2lsdmlXd3lEanB3S2pnVnc3OURRcHlWTjhRa1puQUpfZ3dZQnZnaFQ4Qm5pZHNtQWh0akZadFZVRVpndXJ3ZmNRT1ZTc3VtOEtNR3dKR0k1VDM5NEJBYjdyc180RTJ1Y0tYQU5tMnItNDJCWFBUd19zVG9FZGNxOE44RXZqQXZwOElzaGhNODJoRHEtcWdTSVhMY0lX?oc=5&hl=en-US&gl=US&ceid=US:en,Hart Energy
2024-07-28,Vital Energy to Expand Delaware Basin Position Through Bolt-on Acquisition - GlobeNewswire,Vital Energy to Expand Delaware Basin Position Through Bolt-on Acquisition  GlobeNewswire,https://news.google.com/rss/articles/CBMi3wFBVV95cUxQTmNMMUFiN2JQYjFjbjg4YVRHQ0lXT0h6SEFDbEJVdUZfbDExR3BhNWhoQ0Q5THNOVFpqQ08tQTBZZlJNTm04V210NVB1cFhKT3hDVFNNZ0F1UFlndFEyX0lBMU1YbU9rMlZhdG4zMnl1YjE2TDhtSERNblJ2ZUxJMFJ2cTJUdkxSc1lEWmY2bk9Xc2dDQ1VfRk16YUZMdy1VZ092eWVwNjNZX25fTFFvcnh0ZTdiREh3NnMxU3NaY0VrUEctbzN0d3FZajVIblYyZ05XTVNmTXB1V0RUNndZ?oc=5&hl=en-US&gl=US&ceid=US:en,GlobeNewswire
2024-07-28,NOG Announces Second Joint Acquisition with Vital Energy in the Delaware Basin - Business Wire,NOG Announces Second Joint Acquisition with Vital Energy in the Delaware Basin  Business Wire,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQTjJQQTVScEZ4STI3clpyb3Y2SDZ6c2hpWm1saFk4N3ZIREtNb2FCYVZTMjVKMDBsZkxVNUk2ZUhNUjcyeTFLLVdiZVk3Q19RYVE1ekN3ZVMxN1BrT3ZGZjdtOFZkcTR4LUdiN3laRWc1cW1hVXQ4R3NmSmNlczJaR1NyNTQzaVhBLTF3OFJlV0xfTThKWTJPUmJUZEpzczIxSlJWcnpWY3RBem5OMXlMdk4zNEpkMjB6dWJDOGlfcTJsVTlhUUkyTDZLTW12M3M3?oc=5&hl=en-US&gl=US&ceid=US:en,Business Wire
2024-07-29,Vital Energy joins Northern Oil and Gas in $1.1 billion acquisition of more holdings in Permian Basin - Oklahoma Energy Today,Vital Energy joins Northern Oil and Gas in $1.1 billion acquisition of more holdings in Permian Basin  Oklahoma Energy Today,https://news.google.com/rss/articles/CBMi1gFBVV95cUxONmlxVmxVRVBGZFM4ZkRSaFFPY1dKRkMwdTRIOUMtbGFfaWY2dDU1SF9xdkt5V2hUWG5EcTY3V0VYbjVJb1ZKbXpEUmJPeFc0V3luTE83ZVF0ZGlZZklLMHhaTHNpS3NWN0o2YjFuSWRJdGN3bmV2alNPVmw3bjBnMXplLXFYNWVHOXE0RXl4RDR1M3dNcXRDZHBFTmFnYWx4RGVDOUtDeXRQQ0ZfWjZveWliMlFBMVFrRy1CUnIxSUxpb1dqajFDUmtaM3ZlejRDY1c4VGFn?oc=5&hl=en-US&gl=US&ceid=US:en,Oklahoma Energy Today
2024-07-29,"Vital Energy, Northern Oil and Gas buy Point Energy shale assets for $1.1 billion - Reuters","Vital Energy, Northern Oil and Gas buy Point Energy shale assets for $1.1 billion  Reuters",https://news.google.com/rss/articles/CBMitgFBVV95cUxPaFpwZzd6WEZ6VWxUZWZXYjlNcmpWR3J5OENVQ0JaQTV2OGRYelFTOUs2NzRwT0xSQ1FvN0p3TDVjQ29Zc0w2VEV0alRnY0h5NUliVTNfV0FndjNWdlplbXA2bXB3cjdfdWpCand3UTMzRndvOEk0LWw2NkZqQjl2WEtVR2NDelNINUZiOEpXckVtZGFzc1Qwcm1LaFBNTU0xd3JtVmVhSVl1UDhPSjRJYThaZ0xuUQ?oc=5&hl=en-US&gl=US&ceid=US:en,Reuters
2024-07-29,"Vital Energy, NOG expand Delaware Basin footprint with $1.1 billion Point Energy acquisition - World Oil","Vital Energy, NOG expand Delaware Basin footprint with $1.1 billion Point Energy acquisition  World Oil",https://news.google.com/rss/articles/CBMixgFBVV95cUxNZWpfSFdJYzcxUEd1N2J3Zm5vbmVvdVo4QmY0VkxJRUR1NGNzZ2YtYWRpcGQ1TkpUZ0NxYlY1ODFvVzBXWWNINHA3OTc1YUF3MVgyRjZXYUduRld2ZlIwTlF1MTNYRjRHWVdYRTU5RTFrbHBZZG9uTG54YzJ0OHBuRTFJeVBsV0xERVZhQW0tTHp3QkZ4dmMySHRUSVdIS2dBTUx4OEhkYWNGTUdjZTdkZXQxSVVrY0M3SFlCc0g1SXpENUk5SGc?oc=5&hl=en-US&gl=US&ceid=US:en,World Oil
2024-07-29,Vital Energy and Northern Oil and Gas to acquire Point Energy’s assets for $1.1 billion - Energy Connects,Vital Energy and Northern Oil and Gas to acquire Point Energy’s assets for $1.1 billion  Energy Connects,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNY2ZUUWZsX1NKT3ZzTkl4UzBfVzBOMXl1dWYtdFpWZURfLTRQNHhRbEp5MW5HTGU4NEt0ZVJIdlgyanh1YU5NenNNZW5UQVlHWWx5cHVtRm9VU08zaE9kVTQtc0tmeHBNNFJfNHlZeTd6bXhYOWdMNXVjdFJJNnpOdUlUNDl3d3BIY0RKY0twWUtWQ3lUaEVWejVxVE03X0NtLWJ4MVZhU0QyNUFFNW5BNUJSLTIydkFLZDZqSHp5cFRQZV9YVkZ1MklvcVp1cGJMR2lF?oc=5&hl=en-US&gl=US&ceid=US:en,Energy Connects
2024-07-30,Akin Advises Point Energy Partners in its Sale to Vital Energy and NOG for $1.1 Billion - Akin Gump Strauss Hauer & Feld LLP,Akin Advises Point Energy Partners in its Sale to Vital Energy and NOG for $1.1 Billion  Akin Gump Strauss Hauer & Feld LLP,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNV1pFdlIyR2hGWHNXUll6T1hRdjlTTjlkcjJQampxYVpTbGpINFV6ekVuVzhXd01XTkd4aTZnNWFNWjlsQXZVM2twSmMyTkFjNjYtYUt3dzFWdm5lYnBKVGlfUHdIZUZZN3lhODlFdUpvVEktazB5LXpCSF9tUmhKZ3FNZU16dEoyN05OcTVRNUd5dFQwamxTcUdDbkNwVGdIQ1VJQ2RkaEd0dTcyTzcxRjh5MHlSY181VjdyVDIxWXF0dHhUNXk3VXh2M0prSTJJYkI4XzIweGdxWU0?oc=5&hl=en-US&gl=US&ceid=US:en,Akin Gump Strauss Hauer & Feld LLP
2024-07-31,"Vital, Northern Oil snap up Point Energy Partners for $1.1 billion - Midland Reporter-Telegram","Vital, Northern Oil snap up Point Energy Partners for $1.1 billion  Midland Reporter-Telegram",https://news.google.com/rss/articles/CBMikgFBVV95cUxPQXB4QVZ6cmNZNXpBWkRnX2J0OURuY3I0TmswcWMxRE9YQkxYTzRzblktOG1famJCWVBtSElBUkFiTWVHdHRWakF3TjRBNmlURkN5TGNkZUkzdmJXWHkwZXhGcDBNenRzcllYbWNTa2hMZ1hwZHQ4eE9Uc2RuR1l1RHAtM05zbjFDVXdPMENGRS1OUQ?oc=5&hl=en-US&gl=US&ceid=US:en,Midland Reporter-Telegram
2024-08-07,"After $2.55B Deal, NOG and SM to Buy More Uinta Basin Assets - Hart Energy","After $2.55B Deal, NOG and SM to Buy More Uinta Basin Assets  Hart Energy",https://news.google.com/rss/articles/CBMioAFBVV95cUxOVENMMXRpb1NlRl8ySlNrdmtpdV9MNHU3RDBJZkw2bkluS1FhcnhmTUlvTkY4RlVQX0R0RkVvbXpFaDhWcTdLUjhxV1VuTFRtU1k0WEczd2JocnZDdXVOVDFpUElhcmxoUUtNQXpDeWlZWld0dFVTVUdIQmloWFNSam9wY1lQTGcxTzBZa29iMjV4ckFOQno3THU0cnc0WktE?oc=5&hl=en-US&gl=US&ceid=US:en,Hart Energy
2024-08-21,Minnesota’s Northern Oil and Gas makes over $5B in deals as North Dakota boom wanes - Star Tribune,Minnesota’s Northern Oil and Gas makes over $5B in deals as North Dakota boom wanes  Star Tribune,https://news.google.com/rss/articles/CBMinAFBVV95cUxPeDZpOXRYTTJuNElqQktCOUFtU0hZSUQ3YkliS3NPNFZJQW9FRG1oS2xwSDAyMDlkQnhyalROYXZtUVRMOFV2VEFBNnVUNmNWeW5aTkluaFdjNDdwNlNwOW5nUGtVd1N0OUtHaEtoNTdTbzdYRTZ3TVBUWmNQUVc4OGVjM1JBa0N4MThWcExmb21VSUZMVG9qWTFWNms?oc=5&hl=en-US&gl=US&ceid=US:en,Star Tribune
