Date,Close,High,Low,Open,Volume
2023-04-03,30.238037109375,30.28369940952019,28.90467669389334,29.425236321836,2455500.0
2023-04-04,29.61701774597168,30.502880931196305,28.9594695273464,30.502880931196305,1253200.0
2023-04-05,29.69007682800293,29.872729498686045,29.059928772146613,29.607883300386025,914400.0
2023-04-06,29.744876861572266,30.16497561049088,29.123859804992453,29.607886472928666,1553100.0
2023-04-10,30.44808387756348,30.667267776881665,29.94579165122959,29.94579165122959,1211200.0
2023-04-11,31.014307022094727,31.24262200927236,30.69466743357014,30.90471680371633,1827100.0
2023-04-12,30.886449813842773,31.46180453142388,30.84991858140364,31.343079767901724,1214200.0
2023-04-13,31.51659774780273,31.95496556738712,30.75859383921695,31.206089241153,1572800.0
2023-04-14,32.01889419555664,32.03715981209725,31.23349010336119,31.671854448905368,885500.0
2023-04-17,31.23348426818848,32.19240631265459,31.133025137888406,32.11021279548267,1082300.0
2023-04-18,31.1695613861084,31.22435475051153,30.77685935010573,31.160426836167847,908900.0
2023-04-19,30.86817741394043,30.88644302614589,30.01884560733766,30.48461000905366,1131000.0
2023-04-20,30.19237327575684,30.42068824869684,29.56222172080404,30.28369787140883,1166700.0
2023-04-21,29.927528381347656,30.183240047417065,29.69007884816021,30.05538421438236,723900.0
2023-04-24,30.81339263916016,30.90471724180168,29.54395836605726,29.96406059611497,705600.0
2023-04-25,29.50742530822754,30.4572128498302,29.388700559098584,30.101042086252995,979400.0
2023-04-26,29.07819557189941,29.85446509915632,28.877279019488984,29.38870407956419,849400.0
2023-04-27,29.50742530822754,29.863596071804743,29.023396988518783,29.66267780155723,787200.0
2023-04-28,30.292829513549805,30.57594133955114,29.27911394081809,29.534825600554733,742000.0
2023-05-01,30.438953399658203,30.72206173214113,29.626149182006348,29.836198535845604,1147100.0
2023-05-02,29.33390617370605,30.15584145372616,28.71289092266472,30.128444772328805,1189600.0
2023-05-03,28.31105613708496,29.20605039690981,28.21972980116498,28.667226931077405,2064100.0
2023-05-04,28.247129440307617,28.996002291655003,28.16493590863241,28.247129440307617,1788000.0
2023-05-05,29.069061279296875,30.091913089117075,28.749419979859,29.452630490241333,2288400.0
2023-05-08,29.22431755065918,30.21977100658092,29.096461718784667,29.66268189586185,1427400.0
2023-05-09,28.521106719970703,29.24258288874737,28.47544442099461,28.84074803851853,1746700.0
2023-05-10,28.466312408447266,28.86814726990733,27.8818266040727,28.612433859540907,1391000.0
2023-05-11,28.68549537658692,28.6946281852704,27.8361633299794,27.97315197642138,954800.0
2023-05-12,28.776819229125977,29.17865406687025,28.22886294891196,28.996001392830586,626400.0
2023-05-15,29.18778610229492,29.909262272619088,28.703759461251924,29.02340078048535,743800.0
2023-05-16,27.59871482849121,28.49371089576945,27.406931076727727,28.301925402100863,7156800.0
2023-05-17,27.67177391052246,28.15580227826373,27.279073621870108,27.954885729983108,4094900.0
2023-05-18,28.27452278137207,28.29278839556456,27.005092207376386,27.489120532048297,2023600.0
2023-05-19,28.47544288635254,28.99600073100757,28.19233281576743,28.722023468106485,1488900.0
2023-05-22,29.13298797607422,29.75400667570047,28.39324800792016,28.39324800792016,1977800.0
2023-05-23,28.849878311157227,29.81793498989707,28.685491262242728,29.242580318696326,1973500.0
2023-05-24,29.20605087280273,29.40696916348152,28.49370927321072,29.059929429711808,1442900.0
2023-05-25,28.329322814941406,29.01426774716781,28.037079922562945,28.49370987738055,1645600.0
2023-05-26,28.301921844482425,28.502838379441595,27.909219839962542,28.475441699436413,1431400.0
2023-05-30,27.772232055664062,27.799630478404243,27.078154356723843,27.69003852934845,1304100.0
2023-05-31,27.31560134887696,27.77223126342442,27.151214300935084,27.32473415619649,1811400.0
2023-06-01,27.3338680267334,27.763099536018263,27.005093918061192,27.39779593855189,1457800.0
2023-06-02,28.66722679138184,28.886408951378723,27.89095729460722,28.073608223652144,1024300.0
2023-06-05,28.37498664855957,29.36130907654793,28.27452749565591,29.233449755882194,934000.0
2023-06-06,29.196916580200195,29.23344606816289,27.82702681445328,27.900087532283585,2360000.0
2023-06-07,30.21063804626465,30.42068739743443,29.425234003919424,29.48916191584893,2136800.0
2023-06-08,30.21063804626465,30.47548075976834,29.708342332804392,30.073647672810047,1143100.0
2023-06-09,30.137575149536133,30.52114261557422,29.854463340929545,30.09191285364729,770500.0
2023-06-12,29.607887268066406,30.00972389418038,29.22431974365986,29.61702181892012,1113700.0
